Insurance Name,Insurance Type,Entry Age Min,Entry Age Max,Sum Assured Min,Sum Assured Max,Premium Min,Premium Max,Requires Medical Exam,Income Criteria,Riders Available,Return of Premium,CSR,Features,Policy Term Range,Life Cover Till Age,Premium Payment Option,Death Benefit Option,Payout Type
LIC’s Yuva Term,Endowment Plan,18,40,765615,1122023,6918,13208,Yes,₹5L-,Accident Benefit,Yes,92.77,Comprehensive coverage with tax benefits,19-30,76,Regular,Increasing,Lump sum
LIC’s Yuva Credit Life,Endowment Plan,18,40,669899,879610,14333,16508,No,₹5L-,Premium Waiver,Yes,97.18,Comprehensive coverage with tax benefits,12-38,68,Single,Level,Lump sum
ICICI Prudential iProtect Smart,Term Plan,18,65,705661,817913,11981,20968,Yes,₹5L+,Premium Waiver,Yes,97.51,Comprehensive coverage with tax benefits,7-32,78,Regular,Level,Installments
LIC's Bima Jyoti,Endowment Plan,18,60,766967,1057954,19797,22512,Yes,₹5L-,Accident Benefit,Yes,96.3,Comprehensive coverage with tax benefits,11-30,62,Limited,Increasing,Lump sum
SBI Life eShield,Term Plan,18,65,669888,1083950,9965,10972,Yes,₹5L+,Critical Illness,No,96.36,Comprehensive coverage with tax benefits,19-32,65,Limited,Increasing,Installments
LIC's New Money Back Plan-25 Years,Endowment Plan,13,45,539240,969388,12792,22172,No,₹5L+,Accident Benefit,No,97.33,Comprehensive coverage with tax benefits,7-26,61,Regular,Level,Installments
LIC's Amritbaal,Child Plan,0,13,100000,333697,1000,7994,No,Parent income OK,Accident Benefit,Yes,91.28,Comprehensive coverage with tax benefits,9-40,75,Regular,Level,Lump sum
LIC's Jeevan Labh Plan,Endowment Plan,8,59,662880,937391,6678,7856,No,₹5L-,Critical Illness,No,95.94,Comprehensive coverage with tax benefits,14-38,83,Regular,Increasing,Lump sum
LIC's New Money Back Plan-20 Years,Endowment Plan,13,50,668225,806827,14366,18624,Yes,₹5L+,Critical Illness,No,96.17,Comprehensive coverage with tax benefits,10-27,68,Regular,Level,Installments
LIC's New Children's Money Back Plan,Child Plan,0,12,100000,460299,1000,7031,No,Parent income OK,Critical Illness,Yes,95.62,Comprehensive coverage with tax benefits,12-36,76,Limited,Increasing,Installments
LIC's Jeevan Tarun,Child Plan,0,12,100000,402191,1000,10120,No,Parent income OK,Critical Illness,No,92.77,Comprehensive coverage with tax benefits,8-31,72,Limited,Level,Installments
Bajaj Allianz Life Smart Protect,ULIP,18,60,722510,829902,17065,23961,No,₹5L+,Critical Illness,Yes,94.24,Comprehensive coverage with tax benefits,17-26,60,Single,Level,Installments
HDFC Click 2 Protect,ULIP,18,65,847437,1074265,11744,16159,No,₹5L+,Accident Benefit,Yes,90.81,Comprehensive coverage with tax benefits,20-39,74,Regular,Level,Installments
LIC's New Tech-Term,Endowment Plan,18,65,921767,1357256,7074,15056,No,₹5L-,Accident Benefit,No,91.54,Comprehensive coverage with tax benefits,10-37,83,Limited,Level,Installments
LIC's Bima Ratna LIC’s Digi Term,Endowment Plan,18,55,648719,1130922,19732,26161,No,₹5L+,Accident Benefit,Yes,93.53,Comprehensive coverage with tax benefits,13-38,64,Regular,Increasing,Lump sum
Tata AIA Life Insurance,Term Plan,18,65,440563,861377,5990,12413,No,₹5L+,Premium Waiver,Yes,91.93,Comprehensive coverage with tax benefits,8-39,62,Regular,Increasing,Lump sum
LIC's New Jeevan Amar,Endowment Plan,18,65,749253,934108,19055,24320,No,₹5L+,Accident Benefit,No,92.36,Comprehensive coverage with tax benefits,12-25,83,Regular,Level,Installments
LIC's Single Premium Endowment Plan,Endowment Plan,8,65,673374,998532,9272,18482,Yes,₹5L+,Critical Illness,Yes,92.13,Comprehensive coverage with tax benefits,11-31,61,Limited,Increasing,Lump sum
LIC's New Endowment Plan,Endowment Plan,8,60,936272,1332956,18458,22573,No,₹5L+,Critical Illness,No,95.32,Comprehensive coverage with tax benefits,14-38,82,Limited,Level,Lump sum
LIC’s Digi Credit Life,Endowment Plan,18,60,715707,854949,5282,6417,No,₹5L-,Accident Benefit,No,93.84,Comprehensive coverage with tax benefits,10-35,78,Limited,Level,Lump sum
LIC's Jeevan Azad LIC’s Bima Shree,Endowment Plan,18,55,665988,1160671,16623,22134,No,₹5L+,Critical Illness,Yes,93.91,Comprehensive coverage with tax benefits,12-37,65,Single,Level,Lump sum
Max Life Online Term Plan,Endowment Plan,18,60,837506,1047538,16814,17388,No,₹5L+,Accident Benefit,No,95.41,Comprehensive coverage with tax benefits,19-40,72,Single,Increasing,Lump sum
LIC's New Jeevan Anand,Endowment Plan,18,50,444002,753958,11574,14377,No,₹5L-,Accident Benefit,No,96.38,Comprehensive coverage with tax benefits,8-30,70,Regular,Level,Installments
LIC's Jeevan Lakshya,Endowment Plan,18,50,754606,992162,13551,22995,No,₹5L+,Premium Waiver,No,98.16,Comprehensive coverage with tax benefits,16-36,73,Limited,Increasing,Installments
