Date,Remark,RefNo,ValueDate,Withdrawal,Deposit,Balance,Category
2/1/2024,Educational workshop fee - Web Development,REF575163,2/1/2024,356.4,,49643.6,Education
6/1/2024,Property insurance renewal,REF165310,6/1/2024,100.53,,49543.07,Insurance-Home
7/1/2024,Bond purchase - Municipal,REF648378,8/1/2024,3901.16,,45641.91,Investment
8/1/2024,Fixed deposit creation,REF125765,8/1/2024,,240.9,45882.81,Investment-Dividend received from {company}
9/1/2024,Mutual fund investment - PIMCO Income Fund,REF365929,11/1/2024,953.81,,44929,Investment
9/1/2024,Movie tickets at IMAX,REF989510,9/1/2024,93.76,,44835.24,Entertainment
12/1/2024,Family health plan premium,REF361858,13/01/2024,750.49,,44084.75,Insurance-Health
14/01/2024,Contract payment - Design Work,REF595905,14/01/2024,,2778.95,46863.7,Salary
15/01/2024,Contract payment - Training Program,REF487025,16/01/2024,4743.82,,42119.88,Salary
15/01/2024,Monthly salary from National Services,REF893701,17/01/2024,,3571.97,45691.85,Salary
16/01/2024,Overtime payment,REF249522,17/01/2024,,6241.57,51933.42,Salary
18/01/2024,Overtime payment,REF945164,20/01/2024,4850.86,,47082.56,Salary
19/01/2024,Dinner at Chili's,REF142446,20/01/2024,70.83,,47011.73,Dining
20/01/2024,International travel coverage plan,REF461512,22/01/2024,137.09,,46874.64,Insurance-Travel
21/01/2024,Parking fee payment,REF791278,21/01/2024,106.7,,46767.94,Transportation
22/01/2024,Bonus payment - H2 2024,REF361265,23/01/2024,,4192.53,50960.47,Salary
24/01/2024,Premium payment for life insurance policy #POL60996,REF582121,25/01/2024,186.52,,50773.95,Insurance-Life
25/01/2024,Physiotherapy session payment,REF761989,26/01/2024,397.56,,50376.39,Healthcare
25/01/2024,Commission payment,REF181490,27/01/2024,,4399.98,54776.37,Salary
25/01/2024,Home contents insurance premium,REF396158,26/01/2024,393.65,,54382.72,Insurance-Home
28/01/2024,Contract payment - Training Program,REF881054,28/01/2024,,3169.2,57551.92,Salary
29/01/2024,Commercial vehicle insurance - Van,REF288251,31/01/2024,286.19,,57265.73,Insurance-Motor
30/01/2024,Commission payment,REF762720,30/01/2024,2592.33,,54673.4,Salary
3/2/2024,Travel insurance for Asia trip,REF651323,3/2/2024,239.88,,54433.52,Insurance-Travel
3/2/2024,Fuel payment at BP,REF332322,3/2/2024,91.77,,54341.75,Transportation
4/2/2024,Book purchase for Economics course,REF556025,6/2/2024,353.98,,53987.77,Education
4/2/2024,Car insurance premium for Audi A4,REF543706,6/2/2024,356.38,,53631.39,Insurance-Motor
4/2/2024,Internet service payment to Comcast,REF576752,5/2/2024,283.01,,53348.38,Bills
